HoursPosted,timePosted 24hr,day posted,mediatype,sentiment,likes,isAd,comments,views,ratioLikesToHoursPosted,ratioVideoViewToHoursPosted,ratioCommentsToHoursPosted,noOfHashtags,noOfMentions,noOfFollowers,noOfFollowees
1,12,Thursday,GraphVideo,neutral,517,True,43,2894,517.0,2894.0,43.0,1,1,2470959,0
1,11,Thursday,GraphImage,positive,3094,False,469,0,3094.0,0,469.0,5,0,2470959,0
1,11,Thursday,GraphImage,neutral,3311,False,644,0,3311.0,0,644.0,0,0,2470959,0
1,10,Thursday,GraphSidecar,neutral,1799,True,83,0,1799.0,0,83.0,0,0,2470959,0
2,10,Thursday,GraphVideo,negative,11457,False,1149,93431,5728.5,46715.5,574.5,4,0,2470959,0
2,10,Thursday,GraphImage,neutral,15314,False,4051,0,7657.0,0,2025.5,3,0,2470959,0
3,9,Thursday,GraphImage,neutral,2311,True,105,0,770.3333333333334,0,35.0,0,9,2470959,0
3,9,Thursday,GraphImage,negative,10416,False,2221,0,3472.0,0,740.3333333333334,1,0,2470959,0
3,8,Thursday,GraphVideo,positive,8384,False,1562,103691,2794.6666666666665,34563.666666666664,520.6666666666666,3,0,2470959,0
4,7,Thursday,GraphVideo,neutral,1301,True,70,14226,325.25,3556.5,17.5,4,2,2470959,0
5,7,Thursday,GraphImage,neutral,17351,False,2212,0,3470.2,0,442.4,1,0,2470959,0
5,7,Thursday,GraphVideo,negative,22818,False,2773,219862,4563.6,43972.4,554.6,4,0,2470959,0
6,6,Thursday,GraphImage,neutral,2618,True,158,0,436.3333333333333,0,26.333333333333332,0,1,2470959,0
6,6,Thursday,GraphImage,positive,15482,False,1211,0,2580.3333333333335,0,201.83333333333334,3,0,2470959,0
6,6,Thursday,GraphImage,neutral,7993,False,1420,0,1332.1666666666667,0,236.66666666666666,1,0,2470959,0
